curso,especialidad,hora_inicio,Hora_fin,fecha_inicio,fecha_termino,dias_de_clases,costo,profesor,horas,tipo_de_curso,modalidad_curso,observaciones
Reclutamiento y Selección de Recursos Humanos,Administración,09:00,12:00,22/11/2021,17/12/2021,Lunes a Viernes,300,EDGARD PEREZ TAPIA,60,Extensión,Híbrido,"Martes y miércoles presencial, lunes, jueves y viernes a distancia"
Resiliencia en las Empresas,Administración,12:00,15:00,22/11/2021,17/12/2021,Lunes a Viernes,300,EDGARD PEREZ TAPIA,60,Extensión,Híbrido,"Martes y miércoles presencial, lunes, jueves y viernes a distancia"
Mercadotecnia en la Micro y Pequeña Empresa,Administración,16:00,20:00,22/11/2021,14/01/2022,Lunes a Viernes,300,JOSE SINUHE GALVAN ALVARADO,60,EBC,Presencial,
Elaboración del Plan de Negocio,Administración,08:00,11:30,22/11/2021,17/12/2021,Lunes a Viernes,300,LUIS FERNANDO TORRES MARROQUIN,60,Extensión,Híbrido,"lunes y jueves presencial; martes, miércoles y viernes a distancia"
Elaboración del Estado de Variaciones en el Capital Contable,APLICACIÓN DE NORMAS Y PROCEDIMIENTOS CONTABLES Y FISCALES,11:30,15:00,22/11/2021,17/12/2021,Lunes a Viernes,300,LUIS FERNANDO TORRES MARROQUIN,60,Extensión,Híbrido,"lunes y jueves presencial; martes, miércoles y viernes a distancia"
"Determinación de Impuestos, Actividades Empresariales y Arrendamiento",APLICACIÓN DE NORMAS Y PROCEDIMIENTOS CONTABLES Y FISCALES,17:00,21:00,29/11/2021,17/12/2021,Lunes a Viernes,300,ADRIANA BRAVO MARTINEZ,60,Extensión,Distancia,
Encuadernación de Puntada Larga,Artes Gráficas,09:00,11:30,22/11/2021,17/12/2021,Lunes a Viernes,300,RAUL BARRAGAN RIQUELME,50,Extensión,Distancia,
Encuadernación Artesanal con Material Reciclado,Artes Gráficas,11:30,14:00,22/11/2021,17/12/2021,Lunes a Viernes,300,RAUL BARRAGAN RIQUELME,50,Extensión,Distancia,
Imprime Positivos Tramados para Serigrafía,Artes Gráficas,08:00,11:00,06/12/2021,14/01/2022,Lunes a Viernes,300,JUAN JOSE GAYTAN VAZQUEZ,60,Extensión,Presencial,
Imprime Selección de Color en Serigráfia,Artes Gráficas,11:00,14:00,06/12/2021,14/01/2022,Lunes a Viernes,300,JUAN JOSE GAYTAN VAZQUEZ,60,Extensión,Presencial,
"Bordado tipo Aguacatenango, Chiapas",Artesanías con Fibras Textiles,14:00,17:00,22/11/2021,17/12/2021,Lunes a Viernes,300,ARACELI MORALES HUITRON,60,Extensión,Distancia,
Bordado Boro Sashiko,Artesanías con Fibras Textiles,17:00,20:00,22/11/2021,17/12/2021,Lunes a Viernes,300,ARACELI MORALES HUITRON,60,Extensión,Distancia,
Teoría del Color con Flores,"Artesanías con Pastas, Pinturas y Acabados",09:00,13:00,29/11/2021,17/12/2021,Lunes a Viernes,300,ARACELI CECILIA GONZALEZ MARTINEZ,60,Extensión,Presencial,
Repujado en Aluminio con Incrustaciones,Artesanías Metálicas,12:00,15:00,29/11/2021,07/01/2022,Lunes a Viernes,300,MARÍA ESTHER TORRENTERA BLANCO,60,Extensión,Presencial,
Engarzados con Alambre y Cristal,Artesanías Metálicas,09:00,21:00,13/12/2021,07/01/2022,Lunes a Viernes,300,MARÍA ESTHER TORRENTERA BLANCO,30,Extensión,Presencial,
Bailes y Danzas Tradicionales Infantiles,Asistencia Educativa Inicial y Preescolar,17:00,21:00,22/11/2021,17/12/2021,Lunes a Viernes,300,MARIA LEONOR ALVAREZ MONJARAZ,70,ECI,Distancia,
Escritura Rápida Aplicando Taquigrafía Básica,Asistencia Ejecutiva,08:00,11:30,13/12/2021,21/01/2022,Lunes a Viernes,300,COLUMBA GUADALUPE BRAVO QUIJADA,60,Extensión,Distancia,
Imagen Ejecutiva,Asistencia Ejecutiva,11:30,15:00,13/12/2021,21/01/2022,Lunes a Viernes,300,COLUMBA GUADALUPE BRAVO QUIJADA,60,Extensión,Distancia,
Comunicación Asertiva con Lenguaje de Señas Mexicana (LSM),Atención Integral a Personas con Discapacidad,08:00,12:00,29/11/2021,14/01/2022,Lunes a Viernes,300,JOSE LUIS CORTES GONZALEZ,80,PPF,Híbrido,"martes y viernes presencial; lunes, miércoles y jueves a distancia"
Trazo y Confección de Cardigan Invernal,CONFECCIÓN INDUSTRIAL DE  ROPA,16:00,20:00,22/11/2021,10/12/2021,Lunes a Viernes,300,MARTHA PATRICIA MEDINA DIAZ DE LEON,60,Extensión,Híbrido,"martes y jueves presencial, lunes, miércoles y viernes a distancia"
Colorimetria para Proyectos de Patchwork,CONFECCIÓN INDUSTRIAL DE  ROPA,16:00,20:00,13/12/2021,17/12/2021,Lunes a Viernes,300,MARTHA PATRICIA MEDINA DIAZ DE LEON,20,Extensión,Híbrido,"martes y jueves presencial, lunes, miércoles y viernes a distancia"
Elaboración de Alfiletero de Moda en Fieltro,Diseño de Moda,11:00,14:00,22/11/2021,17/12/2021,Lunes a Viernes,300,MONICA QUINTERO PANTOJA,60,Extensión,Híbrido,"martes y jueves presencial, lunes, miércoles y viernes a distancia"
Construcción de Puertas de Tambor,Diseño y Fabricación de Muebles de Madera,15:00,18:00,06/12/2021,14/01/2022,Lunes a Viernes,300,JOSE LUIS ASCENCION JUAN,60,Extensión,Presencial,
 Construcción de Silla Plegable,Diseño y Fabricación de Muebles de Madera,08:00,21:00,06/12/2021,14/01/2022,Lunes a Viernes,300,JOSE LUIS ASCENCION JUAN,60,Extensión,Presencial,
Elaboración de Cestos para Cubiertos de Mimbre,Elaboración y Restauración de Artesanías de Madera,16:00,20:00,22/11/2021,10/12/2021,Lunes a Viernes,300,MERCEDES FLORES VILLASEÑOR,60,Extensión,Presencial,
Dibujo con Tinta China,Elaboración y Restauración de Artesanías de Madera,08:00,11:30,29/11/2021,07/01/2022,Lunes a Viernes,300,JOSE DEMETRIO ALEJANDRO MARTINEZ AGUILAR,60,Extensión,Híbrido,"lunes y jueves presencial, martes miércoles y viernes a distancia"
Dibujo con Acuarela,Elaboración y Restauración de Artesanías de Madera,11:30,15:00,29/11/2021,07/01/2022,Lunes a Viernes,300,JOSE DEMETRIO ALEJANDRO MARTINEZ AGUILAR,60,Extensión,Híbrido,"lunes y jueves presencial, martes miércoles y viernes a distancia"
Elaboración de Asientos con Bejuco,Elaboración y Restauración de Artesanías de Madera,16:00,20:00,13/12/2021,14/01/2022,Lunes a Viernes,300,MERCEDES FLORES VILLASEÑOR,60,Extensión,Distancia,
Elaboración de Velas Esenciales,Estilismo y Diseño de Imagen,12:00,16:00,29/11/2021,17/12/2021,Lunes a Viernes,300,MARIA DEL CARMEN CENTENO BLANCO,60,Extensión,Distancia,
Diseño y Maquillaje de Cejas,Estilismo y Diseño de Imagen,07:30,10:00,06/12/2021,14/01/2022,Lunes a Viernes,300,LIZBETH ODDETTE VAZQUEZ GARCIA,40,Extensión,Distancia,
Taping Facial (Reafirmación Facil Cinta Kinesiológica),Estilismo y Diseño de Imagen,10:00,12:30,06/12/2021,14/01/2022,Lunes a Viernes,300,LIZBETH ODDETTE VAZQUEZ GARCIA,40,Extensión,Distancia,
Elaborar Diseño Gráfico,Expresión Gráfica Digital,08:00,10:30,29/11/2021,14/01/2022,Lunes a Viernes,300,MARIO EDUARDO CARBAJAL TORRES,60,Extensión,Distancia,
Ilustración con Photoshop,Expresión Gráfica Digital,10:30,13:00,29/11/2021,14/01/2022,Lunes a Viernes,300,MARIO EDUARDO CARBAJAL TORRES,60,Extensión,Distancia,
Excel básico,Ofimática,08:00,10:30,22/11/2021,17/12/2021,Lunes a Viernes,300,DAVID PALACIOS HERNANDEZ,43.5,Extensión,Presencial,
